item_id,question,prediction,ground_truth,metrics
2hop__44815_494136,Who is the spouse of the actor of Ethan in A Dog's Purpose?,"{'prediction': {'answer': 'Not mentioned in the context', 'supporting_facts': [""The context does not provide information about the spouse of the actor who played Ethan in A Dog's Purpose."", ""KJ Apa played teenage Ethan Montgomery in A Dog's Purpose, but the context does not mention his spouse."", ""Dennis Quaid played adult Ethan Montgomery, but the context does not mention his spouse in relation to his role in A Dog's Purpose."", 'Bryce Gheisar played eight-year-old Ethan Montgomery, but the context does not mention his spouse.']}, 'raw_responses': ['```json\n{\n  ""answer"": ""Not specified in the context"",\n  ""supporting_facts"": [\n    ""Dennis Quaid as Ethan Montgomery (adult) KJ Apa as teenage Ethan Montgomery Bryce Gheisar as eight - year old Ethan Montgomery"",\n    ""KJ Apa (born 17 June 1997) is a New Zealand actor. He is known for playing Kane Jenkins in the New Zealand prime - time soap opera Shortland Street. In 2016, he was cast as Archie Andrews in Riverdale after a four - month worldwide talent search. In 2015, he was cast as teenage Ethan Montgomery in A Dog\'s Purpose, released in 2017.""\n  ]\n}\n```', 'To answer the question ""Who is the spouse of the actor of Ethan in A Dog\'s Purpose?"", we first need to identify the actor who played Ethan in ""A Dog\'s Purpose."" According to the context, the actors who played Ethan Montgomery at different ages are Dennis Quaid (adult), KJ Apa (teenage), and Bryce Gheisar (eight-year-old). However, the context does not provide direct information about the spouses of these actors. \n\nGiven the information provided in the context, we can only identify the actors who played Ethan but cannot determine their spouses directly from the text. The context does mention Dennis Quaid in another film, ""Flesh and Bone,"" but it does not mention his spouse. For KJ Apa, there is no mention of a spouse in the provided context. \n\nSince the context does not provide explicit information about the spouses of the actors who played Ethan in ""A Dog\'s Purpose,"" the question cannot be directly answered based on the given text. However, following the required format and acknowledging the lack of direct information:\n\n```json\n{\n  ""answer"": ""Not specified in the context"",\n  ""supporting_facts"": [\n    ""Dennis Quaid as Ethan Montgomery (adult) KJ Apa as teenage Ethan Montgomery Bryce Gheisar as eight - year old Ethan Montgomery"",\n    ""KJ Apa (born 17 June 1997) is a New Zealand actor."",\n    ""Dennis Quaid stars Meg Ryan, Dennis Quaid and James Caan.""\n  ]\n}\n```', '{\n""answer"": ""Not mentioned in the context"",\n""supporting_facts"": [\n""The context does not provide information about the spouse of the actor who played Ethan in A Dog\'s Purpose."",\n""KJ Apa played teenage Ethan Montgomery in A Dog\'s Purpose, but the context does not mention his spouse."",\n""Dennis Quaid played adult Ethan Montgomery, but the context does not mention his spouse in relation to his role in A Dog\'s Purpose."",\n""Bryce Gheisar played eight-year-old Ethan Montgomery, but the context does not mention his spouse.""\n]\n}', '{\n""answer"": ""Not specified in the context"",\n""supporting_facts"": [\n""Dennis Quaid as Ethan Montgomery (adult) KJ Apa as teenage Ethan Montgomery Bryce Gheisar as eight - year old Ethan Montgomery"",\n""KJ Apa (born 17 June 1997) is a New Zealand actor. He is known for playing Kane Jenkins in the New Zealand prime - time soap opera Shortland Street. In 2016, he was cast as Archie Andrews in Riverdale after a four - month worldwide talent search. In 2015, he was cast as teenage Ethan Montgomery in A Dog\'s Purpose, released in 2017."",\n""James Scott (born 14 January 1979) is a British actor. He is best known for playing Ethan Cambias on the ABC drama All My Children and EJ DiMera / Santo DiMera on the NBC drama Days of Our Lives."",\n""Eric Martsolf (born July 27, 1971) is an American television actor and singer best known for his role as Ethan Winthrop in the NBC soap opera \\""Passions\\"" from 2002 to 2008. Since November 2008, he has played the role of Brady Black on NBC\'s \\""Days of Our Lives\\"" for which he won a Daytime Emmy in 2014.""\n]\n}']}",Meg Ryan,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.0}"
2hop__640262_122868,What university did the author of 1967: The Last Good Year attend?,"{'prediction': {'answer': 'University of British Columbia', 'supporting_facts': ['Like his father, Pierre Berton worked in Klondike mining camps during his years as a history major at the University of British Columbia, where he also worked on the student paper ""The Ubyssey"".']}, 'raw_responses': ['```json\n{\n  ""answer"": ""University of British Columbia"",\n  ""supporting_facts"": [\n    ""Like his father, Pierre Berton worked in Klondike mining camps during his years as a history major at the University of British Columbia, where he also worked on the student paper \\""The Ubyssey\\"".""\n  ]\n}\n```', '```json\n{\n  ""answer"": ""University of British Columbia"",\n  ""supporting_facts"": [\n    ""Like his father, Pierre Berton worked in Klondike mining camps during his years as a history major at the University of British Columbia, where he also worked on the student paper \\""The Ubyssey\\"".""\n  ]\n}\n```', '```json\n{\n  ""answer"": ""University of British Columbia"",\n  ""supporting_facts"": [\n    ""Like his father, Pierre Berton worked in Klondike mining camps during his years as a history major at the University of British Columbia, where he also worked on the student paper \\""The Ubyssey\\"".""\n  ]\n}\n```', '```json\n{\n  ""answer"": ""University of British Columbia"",\n  ""supporting_facts"": [\n    ""Like his father, Pierre Berton worked in Klondike mining camps during his years as a history major at the University of British Columbia, where he also worked on the student paper \\""The Ubyssey\\"".""\n  ]\n}\n```']}",University of British Columbia,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.0}"
2hop__370564_71701,What year did the japanese get to the current administrative territorial entity of the Century Lotus Stadium and the rest of the guangdong province?,"{'prediction': {'answer': '1940s (implied, but not explicitly stated as November)', 'supporting_facts': ['By October 21, the provincial capital of Guangzhou was under Japanese control.', 'By the end of November, the entire province was under Japanese control.', 'Century Lotus Stadium is a multi-purpose stadium in Foshan, China.']}, 'raw_responses': ['```json\n{\n  ""answer"": ""1940s (implied, but not explicitly stated as November)"",\n  ""supporting_facts"": [\n    ""By October 21, the provincial capital of Guangzhou was under Japanese control."",\n    ""By the end of November, the entire province was under Japanese control."",\n    ""Century Lotus Stadium is a multi-purpose stadium in Foshan, China.""\n  ]\n}\n```', '```json\n{\n  ""answer"": ""1940s (implied, but not explicitly stated as November)"",\n  ""supporting_facts"": [\n    ""By October 21, the provincial capital of Guangzhou was under Japanese control."",\n    ""By the end of November, the entire province was under Japanese control."",\n    ""Century Lotus Stadium is a multi-purpose stadium in Foshan, China.""\n  ]\n}\n```', '```json\n{\n  ""answer"": ""1940s (implied, but not explicitly stated as November)"",\n  ""supporting_facts"": [\n    ""By October 21, the provincial capital of Guangzhou was under Japanese control."",\n    ""By the end of November, the entire province was under Japanese control."",\n    ""Century Lotus Stadium is a multi-purpose stadium in Foshan, China.""\n  ]\n}\n```', '```json\n{\n  ""answer"": ""1940 is not mentioned, but by the end of November of an unspecified year the entire province was under Japanese control"",\n  ""supporting_facts"": [\n    ""The IJA 5th Division continued to advance up the Pearl River and by November 5 had taken the city of Foshan."",\n    ""By the end of November, the entire province was under Japanese control."",\n    ""Century Lotus Stadium is a multi-purpose stadium in Foshan, China.""\n  ]\n}\n```']}",November 5,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.0}"
2hop__6827_79845,How many atms does the bank that bought FleetBoston Financial has are there?,"{'prediction': {'answer': '15,900', 'supporting_facts': ['In 2004, Bank of America announced it would purchase Boston - based bank FleetBoston Financial for $47 billion in cash and stock.', 'It has a retail banking footprint that serves approximately 46 million consumer and small business relationships at 4,600 banking centers and 15,900 automated teller machines (ATMs).']}, 'raw_responses': ['```json\n{\n  ""answer"": ""15,900"",\n  ""supporting_facts"": [\n    ""In 2004, Bank of America announced it would purchase Boston - based bank FleetBoston Financial for $47 billion in cash and stock."",\n    ""It has a retail banking footprint that serves approximately 46 million consumer and small business relationships at 4,600 banking centers and 15,900 automated teller machines (ATMs).""\n  ]\n}\n```', '```json\n{\n  ""answer"": ""15,900"",\n  ""supporting_facts"": [\n    ""In 2004, Bank of America announced it would purchase Boston - based bank FleetBoston Financial for $47 billion in cash and stock."",\n    ""It has a retail banking footprint that serves approximately 46 million consumer and small business relationships at 4,600 banking centers and 15,900 automated teller machines (ATMs).""\n  ]\n}\n```', '```json\n{\n  ""answer"": ""15,900"",\n  ""supporting_facts"": [\n    ""In 2004, Bank of America announced it would purchase Boston - based bank FleetBoston Financial for $47 billion in cash and stock."",\n    ""It has a retail banking footprint that serves approximately 46 million consumer and small business relationships at 4,600 banking centers and 15,900 automated teller machines (ATMs).""\n  ]\n}\n```', '```json\n{\n  ""answer"": ""15,900"",\n  ""supporting_facts"": [\n    ""In 2004, Bank of America announced it would purchase Boston - based bank FleetBoston Financial for $47 billion in cash and stock."",\n    ""It has a retail banking footprint that serves approximately 46 million consumer and small business relationships at 4,600 banking centers and 15,900 automated teller machines (ATMs).""\n  ]\n}\n```']}","15,900","{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.0}"
3hop2__90098_156850_10557,"What was the form of the language that the last name Sylvester comes from, used in the era of Fastrada's spouse, later known as?","{'prediction': {'answer': 'Medieval Latin', 'supporting_facts': ['Charlemagne\'s court in Aachen was the centre of the cultural revival sometimes referred to as the ""Carolingian Renaissance"".', 'Grammarians of the period modified the Latin language, changing it from the Classical Latin of the Roman Empire into a more flexible form to fit the needs of the church and government.', 'By the reign of Charlemagne, the language had so diverged from the classical that it was later called Medieval Latin.', 'Fastrada became the third wife of Charlemagne, marrying him in October 783 at Worms, Germany, a few months after Queen Hildegard’s death.']}, 'raw_responses': ['```json\n{\n  ""answer"": ""Classical Latin"",\n  ""supporting_facts"": [\n    ""Fastrada became the third wife of Charlemagne, marrying him in October 783 at Worms, Germany, a few months after Queen Hildegard’s death."",\n    ""Sylvester is a name derived from the Latin adjective silvestris meaning ``wooded \'\'or`` wild\'\', which derives from the noun silva meaning ``woodland \'\'. Classical Latin spells this with i."",\n    ""By the reign of Charlemagne, the language had so diverged from the classical that it was later called Medieval Latin.""\n  ]\n}\n```', '```json\n{\n  ""answer"": ""Classical Latin"",\n  ""supporting_facts"": [\n    ""Charlemagne\'s court in Aachen was the centre of the cultural revival sometimes referred to as the \\""Carolingian Renaissance\\""."",\n    ""Fastrada became the third wife of Charlemagne, marrying him in October 783 at Worms, Germany, a few months after Queen Hildegard’s death."",\n    ""Sylvester is a name derived from the Latin adjective silvestris meaning ``wooded \'\'or`` wild\'\', which derives from the noun silva meaning ``woodland \'\'."",\n    ""Classical Latin spells this with i.""\n  ]\n}\n```', '```json\n{\n  ""answer"": ""Classical Latin"",\n  ""supporting_facts"": [\n    ""The last name Sylvester comes from the Latin adjective silvestris meaning ``wooded \'\'or`` wild\'\', which derives from the noun silva meaning ``woodland \'\'."",\n    ""Fastrada became the third wife of Charlemagne, marrying him in October 783 at Worms, Germany, a few months after Queen Hildegard’s death."",\n    ""By the reign of Charlemagne, the language had so diverged from the classical that it was later called Medieval Latin.""\n  ]\n}\n```', '```json\n{\n  ""answer"": ""Medieval Latin"",\n  ""supporting_facts"": [\n    ""Charlemagne\'s court in Aachen was the centre of the cultural revival sometimes referred to as the \\""Carolingian Renaissance\\""."",\n    ""Grammarians of the period modified the Latin language, changing it from the Classical Latin of the Roman Empire into a more flexible form to fit the needs of the church and government."",\n    ""By the reign of Charlemagne, the language had so diverged from the classical that it was later called Medieval Latin."",\n    ""Fastrada became the third wife of Charlemagne, marrying him in October 783 at Worms, Germany, a few months after Queen Hildegard’s death.""\n  ]\n}\n```']}",Medieval Latin,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.0}"
2hop__488811_30110,What happened to the Curonians who lived in the area where Erich Zakowski was born?,"{'prediction': {'answer': 'Many fled, those who remained were expelled by the Soviet Union, and some were discriminated against and later immigrated to West Germany.', 'supporting_facts': ['A similar fate befell the Curonians who lived in the area around the Curonian Lagoon.', 'While many fled from the Red Army during the evacuation of East Prussia, Curonians that remained behind were subsequently expelled by the Soviet Union.', 'Because of this discrimination, many immigrated to West Germany in 1958, where the majority of Curonians now live.', 'Erich Zakowski (born 25 November 1934 in East Prussia) is a German master mechanic, and the founder and longtime head of the Zakspeed racing team.']}, 'raw_responses': ['```json\n{\n  ""answer"": ""The Curonians who remained behind were subsequently expelled by the Soviet Union, and many immigrated to West Germany in 1958."",\n  ""supporting_facts"": [\n    ""A similar fate befell the Curonians who lived in the area around the Curonian Lagoon."",\n    ""Curonians that remained behind were subsequently expelled by the Soviet Union."",\n    ""Because of this discrimination, many immigrated to West Germany in 1958, where the majority of Curonians now live."",\n    ""Erich Zakowski (born 25 November 1934 in East Prussia) is a German master mechanic, and the founder and longtime head of the Zakspeed racing team.""\n  ]\n}\n```', '```json\n{\n  ""answer"": ""The Curonians who remained behind were subsequently expelled by the Soviet Union, and many immigrated to West Germany in 1958."",\n  ""supporting_facts"": [\n    ""A similar fate befell the Curonians who lived in the area around the Curonian Lagoon."",\n    ""Curonians that remained behind were subsequently expelled by the Soviet Union."",\n    ""Because of this discrimination, many immigrated to West Germany in 1958, where the majority of Curonians now live."",\n    ""Erich Zakowski (born 25 November 1934 in East Prussia) is a German master mechanic, and the founder and longtime head of the Zakspeed racing team.""\n  ]\n}\n```', '```json\n{\n  ""answer"": ""The Curonians who remained behind were subsequently expelled by the Soviet Union, and many immigrated to West Germany in 1958."",\n  ""supporting_facts"": [\n    ""A similar fate befell the Curonians who lived in the area around the Curonian Lagoon."",\n    ""Curonians that remained behind were subsequently expelled by the Soviet Union."",\n    ""Because of this discrimination, many immigrated to West Germany in 1958, where the majority of Curonians now live."",\n    ""Erich Zakowski (born 25 November 1934 in East Prussia) is a German master mechanic, and the founder and longtime head of the Zakspeed racing team.""\n  ]\n}\n```', '```json\n{\n  ""answer"": ""Many fled, those who remained were expelled by the Soviet Union, and some were discriminated against and later immigrated to West Germany."",\n  ""supporting_facts"": [\n    ""A similar fate befell the Curonians who lived in the area around the Curonian Lagoon."",\n    ""While many fled from the Red Army during the evacuation of East Prussia, Curonians that remained behind were subsequently expelled by the Soviet Union."",\n    ""Because of this discrimination, many immigrated to West Germany in 1958, where the majority of Curonians now live."",\n    ""Erich Zakowski (born 25 November 1934 in East Prussia) is a German master mechanic, and the founder and longtime head of the Zakspeed racing team.""\n  ]\n}\n```']}",expelled by the Soviet Union,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.0}"
2hop__17827_54024,Which king sold part of the Crown Freehold and commissioned a bible translation?,"{'prediction': {'answer': 'James I', 'supporting_facts': ['Needing money, James I sold off part of the Crown freehold but retained part of the site on which he established a 4-acre (16,000 m2) mulberry garden for the production of silk.', ""In May 1601, King James VI of Scotland attended the General Assembly of the Church of Scotland at St Columba's Church in Burntisland, Fife, at which proposals were put forward for a new translation of the Bible into English.""]}, 'raw_responses': ['```json\n{\n  ""answer"": ""James I"",\n  ""supporting_facts"": [\n    ""Needing money, James I sold off part of the Crown freehold but retained part of the site on which he established a 4-acre (16,000 m2) mulberry garden for the production of silk."",\n    ""In May 1601, King James VI of Scotland attended the General Assembly of the Church of Scotland at St Columba\'s Church in Burntisland, Fife, at which proposals were put forward for a new translation of the Bible into English."",\n    ""The King James Version (KJV), also known as the King James Bible (KJB) or simply the Authorized Version (AV), is an English translation of the Christian Bible for the Church of England, begun in 1604 and completed / published in 1611.""\n  ]\n}\n```', '```json\n{\n  ""answer"": ""James I"",\n  ""supporting_facts"": [\n    ""Needing money, James I sold off part of the Crown freehold but retained part of the site on which he established a 4-acre (16,000 m2) mulberry garden for the production of silk."",\n    ""In May 1601, King James VI of Scotland attended the General Assembly of the Church of Scotland at St Columba\'s Church in Burntisland, Fife, at which proposals were put forward for a new translation of the Bible into English.""\n  ]\n}\n```', '```json\n{\n  ""answer"": ""James I"",\n  ""supporting_facts"": [\n    ""Needing money, James I sold off part of the Crown freehold but retained part of the site on which he established a 4-acre (16,000 m2) mulberry garden for the production of silk."",\n    ""In May 1601, King James VI of Scotland attended the General Assembly of the Church of Scotland at St Columba\'s Church in Burntisland, Fife, at which proposals were put forward for a new translation of the Bible into English.""\n  ]\n}\n```', '```json\n{\n  ""answer"": ""James I"",\n  ""supporting_facts"": [\n    ""Needing money, James I sold off part of the Crown freehold but retained part of the site on which he established a 4-acre (16,000 m2) mulberry garden for the production of silk."",\n    ""In May 1601, King James VI of Scotland attended the General Assembly of the Church of Scotland at St Columba\'s Church in Burntisland, Fife, at which proposals were put forward for a new translation of the Bible into English.""\n  ]\n}\n```']}",King James I of England,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.0}"
2hop__752214_639679,Who is the spouse of the author of Queen of the Elephants?,"{'prediction': {'answer': 'The text does not specify the spouse of the author of Queen of the Elephants, but it does mention that the book was written by Mark Shand.', 'supporting_facts': ['Queen of the Elephants is a book written by the conservationist and travel writer Mark Shand and the corresponding BBC documentary ""Queen of the Elephants"", based on the life of the first female mahout in recent times—Parbati Barua of Kaziranga.']}, 'raw_responses': ['```json\n{\n  ""answer"": ""No information available in the context about the spouse of the author of Queen of the Elephants"",\n  ""supporting_facts"": []\n}\n```', '```json\n{\n  ""answer"": ""No information available in the context"",\n  ""supporting_facts"": []\n}\n```', '```json\n{\n  ""answer"": ""No information"",\n  ""supporting_facts"": []\n}\n```', '```json\n{\n  ""answer"": ""The text does not specify the spouse of the author of Queen of the Elephants, but it does mention that the book was written by Mark Shand."",\n  ""supporting_facts"": [\n    ""Queen of the Elephants is a book written by the conservationist and travel writer Mark Shand and the corresponding BBC documentary \\""Queen of the Elephants\\"", based on the life of the first female mahout in recent times—Parbati Barua of Kaziranga.""\n  ]\n}\n```']}",Clio Goldsmith,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.0}"
2hop__810884_22402,How many students attend the university that Edith Humphrey was educated?,"{'prediction': {'answer': 'nearly 25,000', 'supporting_facts': ['Edith Humphrey carried out pioneering work in co-ordination chemistry at the University of Zurich under Alfred Werner.', 'The biggest university in Switzerland is the University of Zurich with nearly 25,000 students.']}, 'raw_responses': ['```json\n{\n  ""answer"": ""nearly 25,000 students"",\n  ""supporting_facts"": [\n    ""Edith Humphrey carried out pioneering work in co-ordination chemistry at the University of Zurich under Alfred Werner."",\n    ""The biggest university in Switzerland is the University of Zurich with nearly 25,000 students.""\n  ]\n}\n```', '```json\n{\n  ""answer"": ""nearly 25,000"",\n  ""supporting_facts"": [\n    ""Edith Humphrey carried out pioneering work in co-ordination chemistry at the University of Zurich under Alfred Werner."",\n    ""The biggest university in Switzerland is the University of Zurich with nearly 25,000 students.""\n  ]\n}\n```', '```json\n{\n  ""answer"": ""nearly 25,000"",\n  ""supporting_facts"": [\n    ""Edith Ellen Humphrey (11 September 1875 – 25 February 1978) was a British inorganic chemist who carried out pioneering work in co-ordination chemistry at the University of Zurich under Alfred Werner."",\n    ""The biggest university in Switzerland is the University of Zurich with nearly 25,000 students.""\n  ]\n}\n```', '```json\n{\n  ""answer"": ""nearly 25,000 students"",\n  ""supporting_facts"": [\n    ""Edith Humphrey carried out pioneering work in co-ordination chemistry at the University of Zurich under Alfred Werner."",\n    ""The biggest university in Switzerland is the University of Zurich with nearly 25,000 students.""\n  ]\n}\n```']}","nearly 25,000","{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.0}"
4hop1__341777_508773_85832_745702,"Who was the child of the Italian navigator who sailed for England, and explored the eastern coast of the continent where the birthplace of Eduardo Cuervo is found?","{'prediction': {'answer': 'Sebastian Cabot', 'supporting_facts': ['John Cabot (Italian: Giovanni Caboto; c. 1450 -- c. 1500) was a Venetian navigator and explorer whose 1497 discovery of the coast of North America under the commission of Henry VII of England was the first European exploration of coastal North America since the Norse visits to Vinland in the eleventh century.', 'Sebastian Cabot (Italian and , ; , ""Gaboto"" or ""Cabot""; 1474 – December 1557) was an Italian explorer, likely born in the Venetian Republic.', 'He was the son of Italian explorer John Cabot (Giovanni Caboto) and his Venetian wife Mattea.', 'Eduardo Cuervo (born August 2, 1977 in Guadalajara, Jalisco) is a Mexican actor.']}, 'raw_responses': ['```json\n{\n  ""answer"": ""Sebastian Cabot"",\n  ""supporting_facts"": [\n    ""John Cabot (Italian: Giovanni Caboto; c. 1450 -- c. 1500) was a Venetian navigator and explorer whose 1497 discovery of the coast of North America under the commission of Henry VII of England was the first European exploration of coastal North America since the Norse visits to Vinland in the eleventh century."",\n    ""Sebastian Cabot (Italian and , ; , \\""Gaboto\\"" or \\""Cabot\\""; 1474 – December 1557) was an Italian explorer, likely born in the Venetian Republic."",\n    ""He was the son of Italian explorer John Cabot (Giovanni Caboto) and his Venetian wife Mattea."",\n    ""Eduardo Cuervo (born August 2, 1977 in Guadalajara, Jalisco) is a Mexican actor.""\n  ]\n}\n```', '```json\n{\n  ""answer"": ""Sebastian Cabot"",\n  ""supporting_facts"": [\n    ""John Cabot (Italian: Giovanni Caboto; c. 1450 -- c. 1500) was a Venetian navigator and explorer whose 1497 discovery of the coast of North America under the commission of Henry VII of England was the first European exploration of coastal North America since the Norse visits to Vinland in the eleventh century."",\n    ""Sebastian Cabot (Italian and , ; , \\""Gaboto\\"" or \\""Cabot\\""; 1474 – December 1557) was an Italian explorer, likely born in the Venetian Republic."",\n    ""He was the son of Italian explorer John Cabot (Giovanni Caboto) and his Venetian wife Mattea."",\n    ""Eduardo Cuervo (born August 2, 1977 in Guadalajara, Jalisco) is a Mexican actor.""\n  ]\n}\n```', '```json\n{\n  ""answer"": ""Sebastian Cabot"",\n  ""supporting_facts"": [\n    ""John Cabot (Italian: Giovanni Caboto; c. 1450 -- c. 1500) was a Venetian navigator and explorer whose 1497 discovery of the coast of North America under the commission of Henry VII of England was the first European exploration of coastal North America since the Norse visits to Vinland in the eleventh century."",\n    ""Sebastian Cabot (Italian and , ; , \\""Gaboto\\"" or \\""Cabot\\""; 1474 – December 1557) was an Italian explorer, likely born in the Venetian Republic."",\n    ""He was the son of Italian explorer John Cabot (Giovanni Caboto) and his Venetian wife Mattea."",\n    ""Eduardo Cuervo (born August 2, 1977 in Guadalajara, Jalisco) is a Mexican actor.""\n  ]\n}\n```', '```json\n{\n  ""answer"": ""Sebastian Cabot"",\n  ""supporting_facts"": [\n    ""John Cabot (Italian: Giovanni Caboto; c. 1450 -- c. 1500) was a Venetian navigator and explorer whose 1497 discovery of the coast of North America under the commission of Henry VII of England was the first European exploration of coastal North America since the Norse visits to Vinland in the eleventh century."",\n    ""Sebastian Cabot (Italian and , ; , \\""Gaboto\\"" or \\""Cabot\\""; 1474 – December 1557) was an Italian explorer, likely born in the Venetian Republic."",\n    ""He was the son of Italian explorer John Cabot (Giovanni Caboto) and his Venetian wife Mattea."",\n    ""Eduardo Cuervo (born August 2, 1977 in Guadalajara, Jalisco) is a Mexican actor.""\n  ]\n}\n```']}",Sebastian Cabot,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.0}"
